Frequency (Hz)	Level (dB)
195.144653	-41.556610
195.817566	-42.368271
196.490479	-42.569637
197.163391	-42.062187
197.836304	-42.539150
198.509216	-42.355907
199.182129	-41.540012
199.855042	-41.803360
200.527954	-41.058079
201.200867	-39.659565
201.873779	-40.049931
202.546692	-40.255272
203.219604	-38.933884
203.892517	-37.967319
204.565430	-36.472607
205.238342	-35.289177
205.911255	-35.211193
206.584167	-35.489765
207.257080	-34.945488
207.929993	-35.671879
208.602905	-35.887341
209.275818	-34.858173
209.948730	-35.179165
210.621643	-35.411446
211.294556	-34.726559
211.967468	-34.858360
212.640381	-35.249477
213.313293	-34.681988
213.986206	-35.256252
214.659119	-35.915482
215.332031	-34.683479
216.004944	-34.604900
216.677856	-34.958336
217.350769	-33.870453
218.023682	-33.128639
218.696594	-33.368145
219.369507	-32.174751
220.042419	-31.232817
220.715332	-32.298462
221.388245	-32.169090
222.061157	-32.857685
222.734070	-34.692345
223.406982	-35.908882
224.079895	-37.044022
224.752808	-39.031883
225.425720	-40.322872
226.098633	-40.657280
226.771545	-42.297932
227.444458	-43.779427
228.117371	-43.546791
228.790283	-44.781448
229.463196	-45.422840
230.136108	-45.270874
230.809021	-46.761463
231.481934	-47.634712
232.154846	-47.441055
232.827759	-48.148426
233.500671	-47.798996
234.173584	-46.795124
234.846497	-47.704220
235.519409	-48.251446
236.192322	-47.800545
236.865234	-47.716354
237.538147	-47.169449
238.211060	-46.283585
238.883972	-46.378399
239.556885	-46.511925
240.229797	-45.934177
240.902710	-45.366348
241.575623	-44.169254
242.248535	-43.097618
242.921448	-42.369370
243.594360	-40.443016
244.267273	-38.486912
244.940186	-36.440781
245.613098	-33.589302
246.286011	-31.635820
246.958923	-30.274864
247.631836	-29.511698
248.304749	-29.586088
248.977661	-30.839060
249.650574	-32.595699
250.323486	-35.510231
250.996399	-38.709694
251.669312	-41.252640
252.342224	-43.530609
253.015137	-45.355930
253.688049	-46.409142
254.360962	-46.988682
255.033875	-47.548302
255.706787	-48.242157
256.379700	-49.036072
257.052612	-49.755135
257.725525	-50.101456
258.398438	-50.254749
259.071350	-51.152889
259.744263	-51.967022
260.417175	-52.176331
